"Lower
Time","Upper 
Time",Time Frame,Lower Limit,Upper Limit,Vehicles per Hour,Vehicles per 15min,VP 1min
0,0.25,,0,670.3274,670.3274,670,44
0.25,0.5,,670.3274,1221.788,551.4606,551,36
0.5,0.75,,1221.788,1671.989,450.2013,450,30
0.75,1,,1671.989,2037.058,365.0689,365,24
1,1.25,,2037.058,2331.641,294.583,294,19
1.25,1.5,,2331.641,2568.904,237.263,237,15
1.5,1.75,,2568.904,2760.533,191.6286,191,12
1.75,2,,2760.533,2916.732,156.1992,156,10
2,2.25,,2916.732,3046.226,129.4943,129,8
2.25,2.5,,3046.226,3156.26,110.0335,110,7
2.5,2.75,,3156.26,3252.596,96.33628,96,6
2.75,3,,3252.596,3339.518,86.9222,86,5
3,3.25,,906.159,1010.714,104.555,104,6
3.25,3.5,,1010.714,1167.498,156.7836,156,10
3.5,3.75,,1167.498,1386.744,219.2465,219,14
3.75,4,,1386.744,1678.688,291.9439,291,19
4,4.25,,1678.688,2053.564,374.8756,374,24
4.25,4.5,,2053.564,2521.605,468.0418,468,31
4.5,4.75,,2521.605,3093.048,571.4423,571,38
4.75,5,,3093.048,3778.125,685.0773,685,45
5,5.25,,3778.125,4587.072,808.9467,808,53
5.25,5.5,,4587.072,5530.122,943.0505,943,62
5.5,5.75,,5530.122,6617.511,1087.389,1087,72
5.75,6,,6617.511,7859.472,1241.961,1241,82
6,6.25,,7859.472,9266.24,1406.768,1406,93
6.25,6.5,,9266.24,10848.05,1581.81,1581,105
6.5,6.75,,10848.05,12615.14,1767.085,1767,117
6.75,7,,12615.14,14577.73,1962.596,1962,130
7,7.25,,-878321,-877487,834.0714,834,55
7.25,7.5,,-877487,-876539,948.4666,948,63
7.5,7.75,,-876539,-875505,1033.607,1033,68
7.75,8,,-875505,-874403,1101.864,1101,73
8,8.25,,-874403,-873239,1163.884,1163,77
8.25,8.5,,-873239,-872011,1228.59,1228,81
8.5,8.75,,-872011,-870707,1303.182,1303,86
8.75,9,,-870707,-869314,1393.134,1393,92
9,9.25,,-869314,-867812,1502.198,1502,100
9.25,9.5,,-867812,-866180,1632.398,1632,108
9.5,9.75,,-866180,-864396,1784.039,1784,118
9.75,10,,-864396,-862440,1955.698,1955,130
10,10.25,,-862440,-860296,2144.23,2144,142
10.25,10.5,,-860296,-857951,2344.764,2344,156
10.5,10.75,,-857951,-855400,2550.707,2550,170
10.75,11,,-855400,-852647,2753.742,2753,183
11,11.25,,-852647,-849703,2943.824,2943,196
11.25,11.5,,-849703,-846594,3109.189,3109,207
11.5,11.75,,-846594,-843357,3236.346,3236,215
11.75,12,,-843357,-840047,3310.081,3310,220
12,12.25,,2895145,2898378,3232.546,3232,215
12.25,12.5,,2898378,2901448,3070.248,3070,204
12.5,12.75,,2901448,2904421,2972.771,2972,198
12.75,13,,2904421,2907356,2934.997,2934,195
13,13.25,,2907356,2910307,2951.81,2951,196
13.25,13.5,,2910307,2913325,3018.094,3018,201
13.5,13.75,,2913325,2916454,3128.73,3128,208
13.75,14,,2916454,2919733,3278.604,3278,218
14,14.25,,2919733,2923195,3462.597,3462,230
14.25,14.5,,2923195,2926871,3675.594,3675,245
14.5,14.75,,2926871,2930783,3912.478,3912,260
14.75,15,,2930783,2934952,4168.133,4168,277
15,15.25,,2934952,2939389,4437.441,4437,295
15.25,15.5,,2939389,2944104,4715.286,4715,314
15.5,15.75,,2944104,2949101,4996.551,4996,333
15.75,16,,2949101,2954377,5276.12,5276,351
16,16.25,,2954377,2959926,5548.876,5548,369
16.25,16.5,,2959926,2965736,5809.703,5809,387
16.5,16.75,,2965736,2971789,6053.483,6053,403
16.75,17,,2971789,2978064,6275.101,6275,418
17,17.25,,1757991,1764043,6051.581,6051,403
17.25,17.5,,1764043,1769755,5712.344,5712,380
17.5,17.75,,1769755,1775138,5383.166,5383,358
17.75,18,,1775138,1780202,5064.047,5064,337
18,18.25,,1780202,1784957,4754.987,4754,316
18.25,18.5,,1784957,1789413,4455.986,4455,297
18.5,18.75,,1789413,1793580,4167.044,4167,277
18.75,19,,1793580,1797468,3888.161,3888,259
19,19.25,,1797468,1801088,3619.337,3619,241
19.25,19.5,,1801088,1804448,3360.572,3360,224
19.5,19.75,,1804448,1807560,3111.867,3111,207
19.75,20,,1807560,1810433,2873.22,2873,191
20,20.25,,1810433,1813078,2644.633,2644,176
20.25,20.5,,1813078,1815504,2426.104,2426,161
20.5,20.75,,1815504,1817722,2217.635,2217,147
20.75,21,,1817722,1819741,2019.225,2019,134
21,21.25,,1819741,1821572,1830.873,1830,122
21.25,21.5,,1821572,1823224,1652.581,1652,110
21.5,21.75,,1823224,1824709,1484.348,1484,98
21.75,22,,1824709,1826035,1326.174,1326,88
22,22.25,,1826035,1827213,1178.059,1178,78
22.25,22.5,,1827213,1828253,1040.003,1040,69
22.5,22.75,,1828253,1829165,912.0062,912,60
22.75,23,,1829165,1829959,794.0684,794,52
23,23.25,,1829959,1830645,686.1896,686,45
23.25,23.5,,1830645,1831234,588.3699,588,39
23.5,23.75,,1831234,1831734,500.6093,500,33
23.75,24,,1831734,1832157,422.9078,422,28
