Date,Hour,UTC,Power demand,Load in KW
1/4/2023,12:00 AM,UTC +05:30,50476,504.76
1/4/2023,12:15 AM,UTC +05:30,50351,503.51
1/4/2023,12:30 AM,UTC +05:30,49522,495.22
1/4/2023,12:45 AM,UTC +05:30,49553,495.53
1/4/2023,1:00 AM,UTC +05:30,48741,487.41
1/4/2023,1:15 AM,UTC +05:30,47887,478.87
1/4/2023,1:30 AM,UTC +05:30,47766,477.66
1/4/2023,1:45 AM,UTC +05:30,47922,479.22
1/4/2023,2:00 AM,UTC +05:30,48625,486.25
1/4/2023,2:15 AM,UTC +05:30,50023,500.23
1/4/2023,2:30 AM,UTC +05:30,49764,497.64
1/4/2023,2:45 AM,UTC +05:30,49575,495.75
1/4/2023,3:00 AM,UTC +05:30,49067,490.67
1/4/2023,3:15 AM,UTC +05:30,49306,493.06
31/03/2023,3:30 AM,UTC +05:30,45267,452.67
31/03/2023,3:45 AM,UTC +05:30,45077,450.77
31/03/2023,4:00 AM,UTC +05:30,43789,437.89
31/03/2023,4:15 AM,UTC +05:30,42727,427.27
31/03/2023,4:30 AM,UTC +05:30,42417,424.17
31/03/2023,4:45 AM,UTC +05:30,42679,426.79
31/03/2023,5:00 AM,UTC +05:30,42818,428.18
31/03/2023,5:15 AM,UTC +05:30,43044,430.44
31/03/2023,5:30 AM,UTC +05:30,42761,427.61
31/03/2023,5:45 AM,UTC +05:30,42968,429.68
31/03/2023,6:00 AM,UTC +05:30,41982,419.82
31/03/2023,6:15 AM,UTC +05:30,41320,413.2
31/03/2023,6:30 AM,UTC +05:30,40486,404.86
31/03/2023,6:45 AM,UTC +05:30,40230,402.3
31/03/2023,7:00 AM,UTC +05:30,39673,396.73
31/03/2023,7:15 AM,UTC +05:30,39301,393.01
31/03/2023,7:30 AM,UTC +05:30,39051,390.51
31/03/2023,7:45 AM,UTC +05:30,38689,386.89
31/03/2023,8:00 AM,UTC +05:30,38534,385.34
31/03/2023,8:15 AM,UTC +05:30,38503,385.03
31/03/2023,8:30 AM,UTC +05:30,38949,389.49
31/03/2023,8:45 AM,UTC +05:30,39591,395.91
31/03/2023,9:00 AM,UTC +05:30,40149,401.49
31/03/2023,9:15 AM,UTC +05:30,40995,409.95
31/03/2023,9:30 AM,UTC +05:30,42211,422.11
31/03/2023,9:45 AM,UTC +05:30,44113,441.13
31/03/2023,10:00 AM,UTC +05:30,44901,449.01
31/03/2023,10:15 AM,UTC +05:30,46366,463.66
31/03/2023,10:30 AM,UTC +05:30,48048,480.48
31/03/2023,10:45 AM,UTC +05:30,48792,487.92
31/03/2023,11:00 AM,UTC +05:30,49198,491.98
31/03/2023,11:15 AM,UTC +05:30,49775,497.75
31/03/2023,11:30 AM,UTC +05:30,50600,506
31/03/2023,11:45 AM,UTC +05:30,51174,511.74
31/03/2023,12:00 PM,UTC +05:30,51712,517.12
31/03/2023,12:15 PM,UTC +05:30,52067,520.67
31/03/2023,12:30 PM,UTC +05:30,52329,523.29
31/03/2023,12:45 PM,UTC +05:30,52557,525.57
31/03/2023,1:00 PM,UTC +05:30,52585,525.85
31/03/2023,1:15 PM,UTC +05:30,52480,524.8
31/03/2023,1:30 PM,UTC +05:30,52275,522.75
31/03/2023,1:45 PM,UTC +05:30,52548,525.48
31/03/2023,2:00 PM,UTC +05:30,52444,524.44
31/03/2023,2:15 PM,UTC +05:30,52008,520.08
31/03/2023,2:30 PM,UTC +05:30,52200,522
31/03/2023,2:45 PM,UTC +05:30,52324,523.24
31/03/2023,3:00 PM,UTC +05:30,52129,521.29
31/03/2023,3:15 PM,UTC +05:30,52140,521.4
31/03/2023,3:30 PM,UTC +05:30,51973,519.73
31/03/2023,3:45 PM,UTC +05:30,51641,516.41
31/03/2023,4:00 PM,UTC +05:30,50608,506.08
31/03/2023,4:15 PM,UTC +05:30,50107,501.07
31/03/2023,4:30 PM,UTC +05:30,49756,497.56
31/03/2023,4:45 PM,UTC +05:30,49657,496.57
31/03/2023,5:00 PM,UTC +05:30,48962,489.62
31/03/2023,5:15 PM,UTC +05:30,48966,489.66
31/03/2023,5:30 PM,UTC +05:30,49088,490.88
31/03/2023,5:45 PM,UTC +05:30,49608,496.08
31/03/2023,6:00 PM,UTC +05:30,49331,493.31
31/03/2023,6:15 PM,UTC +05:30,49198,491.98
31/03/2023,6:30 PM,UTC +05:30,49049,490.49
31/03/2023,6:45 PM,UTC +05:30,48659,486.59
31/03/2023,7:00 PM,UTC +05:30,49100,491
31/03/2023,7:15 PM,UTC +05:30,47914,479.14
31/03/2023,7:30 PM,UTC +05:30,47445,474.45
31/03/2023,7:45 PM,UTC +05:30,46812,468.12
31/03/2023,8:00 PM,UTC +05:30,46638,466.38
31/03/2023,8:15 PM,UTC +05:30,45990,459.9
31/03/2023,8:30 PM,UTC +05:30,46301,463.01
31/03/2023,8:45 PM,UTC +05:30,46604,466.04
31/03/2023,9:00 PM,UTC +05:30,47116,471.16
31/03/2023,9:15 PM,UTC +05:30,47036,470.36
31/03/2023,9:30 PM,UTC +05:30,47783,477.83
31/03/2023,9:45 PM,UTC +05:30,47922,479.22
31/03/2023,10:00 PM,UTC +05:30,48917,489.17
31/03/2023,10:15 PM,UTC +05:30,49394,493.94
31/03/2023,10:30 PM,UTC +05:30,49876,498.76
31/03/2023,10:45 PM,UTC +05:30,50217,502.17
31/03/2023,11:00 PM,UTC +05:30,50182,501.82
31/03/2023,11:15 PM,UTC +05:30,50774,507.74
31/03/2023,11:30 PM,UTC +05:30,51053,510.53
31/03/2023,11:45 PM,UTC +05:30,51127,511.27
